date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:17	114967/114967	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:17%20GMT	https://www.fmsdental.com/single-tooth-dental-implant-in-india/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/single-tooth-dental-implant-in-india/index.html	(from https://www.fmsdental.com/)
16:31:18	113550/113550	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:18%20GMT	https://www.fmsdental.com/complete-teeth-replacement/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/complete-teeth-replacement/index.html	(from https://www.fmsdental.com/)
16:31:19	110878/110878	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:19%20GMT	https://www.fmsdental.com/multiple-teeth-replacement/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/multiple-teeth-replacement/index.html	(from https://www.fmsdental.com/)
16:31:20	107432/107432	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:19%20GMT	https://www.fmsdental.com/teeth-in-a-day/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/teeth-in-a-day/index.html	(from https://www.fmsdental.com/)
16:31:21	131889/131889	---M--	200	added ('OK')	image/jpeg	etag:%2220331-59105fb52d046%22	https://www.fmsdental.com/wp-content/uploads/2019/08/Best-Dental-College.jpg	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/wp-content/uploads/2019/08/Best-Dental-College.jpg	(from https://www.fmsdental.com/)
16:31:21	119703/119703	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:21%20GMT	https://www.fmsdental.com/permenant-fixed-teeth-in-5-days/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/permenant-fixed-teeth-in-5-days/index.html	(from https://www.fmsdental.com/)
16:31:22	109647/109647	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:22%20GMT	https://www.fmsdental.com/full-mouth-dental-implants/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/full-mouth-dental-implants/index.html	(from https://www.fmsdental.com/)
16:31:23	3769/3769	---M--	200	added ('OK')	image/png	etag:%2261400f4544146bb5%22	https://i2.wp.com/www.fmsdental.com/wp-content/uploads/2015/09/image-3.png?fit=99%2C100&	C:/My%20Web%20Sites/DentalHome/i2.wp.com/www.fmsdental.com/wp-content/uploads/2015/09/image-3b486.png	(from https://www.fmsdental.com/)
16:31:24	134966/134966	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:23%20GMT	https://www.fmsdental.com/all-on-4-dental-implants/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/all-on-4-dental-implants/index.html	(from https://www.fmsdental.com/)
16:31:24	104324/104324	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:24%20GMT	https://www.fmsdental.com/boi-implants/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/boi-implants/index.html	(from https://www.fmsdental.com/)
